M8J2-1	mtnE	BSU13580
M8J2-1	mtnK	BSU13560
M8J2-11		
M8J2-11	ldt	BSU14040
M8J2-11	ykvP	BSU13780
M8J2-11	ymaG	BSU17310
M8J2-11	pghL	BSU17820
M8J2-11	yobW	BSU19110
M8J2-10	yqfQ	BSU25150
M8J2-107	bsrF	G8J2-5
M8J2-10	yrkC	BSU26560
M8J2-10	cotI	BSU30920
M8J2-10	ytcC	BSU30880
M8J2-10	ywrJ	BSU36040
M8J2-10	yxeE	BSU39580
M8J2-10	acoA	BSU08060
M8J2-	gmuB	BSU05810
phrI-P2		
phrI-P1		
phrE-P3		
phrE-P2		
phrE-P1		
phrC-P2		
phoP-PE2	phoP	BSU29110
phoP-PB1	phoP	BSU29110
phoP-PA6		
phoP-P5		
phoP-P2; phoP-A3		
phoP-P1; phoP-PA4		
phoB-Pv	phoB	BSU05740
phoB-Ps	phoB	BSU05740
PD	lytA	BSU35640
pbuEp	pbuE	BSU05800
padCp	yveF	BSU34420
PA,2	tagU	BSU35650
PA,1	lytA	BSU35640
P3		
P2		
oxdDp	oxdD	BSU18670
oxdCp	oxdC	BSU33240
opuE-P2	opuE	BSU06660
opuE-P1	opuE	BSU06660
opuBAp	opuBA	BSU33730
opuAp	opuAA	BSU02980
opuA-P2	opuAA	BSU02980
nupNp	nupN	BSU31540
ntdRp	ntdR	BSU10560
ntdAp	ntdA	BSU10550
nasDp	nasD	BSU03300
nasBp	nasB	BSU03320
nagPp	nagP	BSU07700
nagAp	nagA	BSU35010
mtnW-P2	mtnW	BSU13590
mtnW-P1	mtnW	BSU13590
mneSp	mneS	BSU06320
mnePp	mneP	BSU05470
mgtEp	mgtE	BSU13300
metIp	metI	BSU11870
med-B	med	BSU11300
med-A	med	BSU11300
mapBp	mapB	BSU07690
manRp	manR	BSU12000
manPp	manP	BSU12010
lrpC-P1	lrpC	BSU04250
lonS2	lonA	BSU28200
lonS1	lonA	BSU28200
lmrAp	lmrA	BSU02680
liaIp	liaG	BSU33110
katE-S2	katE	BSU39050
katE-S1	katE	BSU39050
ispAp	isp	BSU13190
infCp2	ysdA	BSU28840
infCp1	infC	BSU28870
ilvEp	ilvE	BSU02390
hrcA-S2		
hrcA-S1		
hprKp	hprK	BSU35000
homp	hom	BSU32260
hmoAp	hmoA	BSU07150
hbs-P3	hbs	BSU22790
hbs-P2	hbs	BSU22790
hbs-P1		
gyrA-TR7	gyrA	BSU00070
gntZ-P3		
gntZ-P2		
gntR-P1	gntR	BSU40050
glmSp	glmS	BSU01780
glcUp	glcU	BSU03920
ggaAp	ggaA	BSU35690
gerKAp	gerKA	BSU03700
gerDp	gerD	BSU01550
gerAp	gerAA	BSU33050
ganSp	ganS	BSU34160
gamRp	gamR	BSU02370
gamAp	gamA	BSU02360
galEp	galE	BSU38860
gabP-P2	gabP	BSU06310
gabP-P1	gabP	BSU06310
G4	yoaW	BSU18780
ftsY-PK		
ftsA-P3	ftsA	BSU15280
ftsA-P2	ftsA	BSU15280
ftsA-P1		
frlBp	frlB	BSU32610
flgMp	flgM	BSU35430
finp	fin	BSU00540
feuAp	feuA	BSU01630
fatRp	fatR	BSU27170
ezrA-P2	ezrA	BSU29610
ezrA-P1	ezrA	BSU29610
exuP2		
exuP1	uxaC	BSU12300
epsp	epsA	BSU34370
eprp	epr	BSU38400
eglSp	eglS	BSU18130
drm-P2	drm	BSU23500
drm-P1	drm	BSU23500
